wl,n,k
2.72E+00,1.160993,2.05E-02
2.72E+00,1.152876,2.82E-02
2.73E+00,1.14952,3.80E-02
2.74E+00,1.142068,4.62E-02
2.75E+00,1.136183,5.48E-02
2.75E+00,1.13286,6.48E-02
2.76E+00,1.131711,7.44E-02
2.77E+00,1.132778,8.35E-02
2.78E+00,1.130913,9.29E-02
2.79E+00,1.127959,1.02E-01
2.79E+00,1.127558,1.12E-01
2.80E+00,1.129478,1.21E-01
2.81E+00,1.128413,1.31E-01
2.82E+00,1.125532,1.42E-01
2.82E+00,1.125351,1.54E-01
2.83E+00,1.127523,1.67E-01
2.84E+00,1.133346,1.80E-01
2.85E+00,1.142386,1.94E-01
2.86E+00,1.145545,2.06E-01
2.86E+00,1.152284,2.18E-01
2.87E+00,1.162372,2.29E-01
2.88E+00,1.178446,2.39E-01
2.89E+00,1.185419,2.49E-01
2.90E+00,1.195889,2.58E-01
2.90E+00,1.208002,2.65E-01
2.92E+00,1.229654,2.72E-01
2.92E+00,1.240033,2.76E-01
2.93E+00,1.252073,2.80E-01
2.94E+00,1.263935,2.80E-01
2.95E+00,1.285942,2.82E-01
2.96E+00,1.297762,2.82E-01
2.96E+00,1.307891,2.78E-01
2.98E+00,1.32631,2.76E-01
2.99E+00,1.334533,2.72E-01
3.00E+00,1.352917,2.72E-01
3.05E+00,1.411876,2.40E-01
3.10E+00,1.452013,1.92E-01
3.15E+00,1.466753,1.35E-01
3.20E+00,1.461522,9.24E-02
3.25E+00,1.449409,6.11E-02
3.30E+00,1.432585,3.69E-02
3.35E+00,1.417064,2.61E-02
3.40E+00,1.404875,1.95E-02
3.45E+00,1.39326,1.32E-02
3.50E+00,1.384213,9.39E-03
3.55E+00,1.376092,6.79E-03
3.60E+00,1.368863,5.15E-03
3.65E+00,1.362546,4.23E-03
3.70E+00,1.356937,3.60E-03
3.75E+00,1.351891,3.40E-03
3.80E+00,1.347393,3.40E-03
3.85E+00,1.343958,3.53E-03
3.90E+00,1.340174,3.80E-03
3.95E+00,1.336658,4.16E-03
4.00E+00,1.333929,4.60E-03
4.05E+00,1.331403,5.07E-03
4.10E+00,1.328504,5.62E-03
4.15E+00,1.326183,6.22E-03
4.20E+00,1.323997,6.88E-03
4.25E+00,1.321906,7.60E-03
4.30E+00,1.319948,8.45E-03
4.35E+00,1.318113,9.31E-03
4.40E+00,1.316398,1.03E-02
4.45E+00,1.31492,1.14E-02
4.50E+00,1.313587,1.24E-02
4.55E+00,1.312483,1.36E-02
4.60E+00,1.311785,1.47E-02
4.65E+00,1.311588,1.55E-02
4.70E+00,1.311451,1.57E-02
4.75E+00,1.311148,1.55E-02
4.80E+00,1.310657,1.50E-02
4.85E+00,1.309721,1.44E-02
4.90E+00,1.30872,1.37E-02
4.95E+00,1.307228,1.31E-02
5.00E+00,1.305885,1.24E-02
5.05E+00,1.304258,1.18E-02
5.11E+00,1.301965,1.11E-02
5.15E+00,1.29991,1.06E-02
5.20E+00,1.29755,1.01E-02
5.25E+00,1.294933,9.90E-03
5.30E+00,1.292117,9.79E-03
5.35E+00,1.289015,9.88E-03
5.40E+00,1.285729,1.03E-02
5.45E+00,1.282194,1.08E-02
5.50E+00,1.278291,1.16E-02
5.55E+00,1.273883,1.26E-02
5.60E+00,1.268802,1.42E-02
5.65E+00,1.262994,1.66E-02
5.70E+00,1.256584,2.03E-02
5.75E+00,1.24837,2.48E-02
5.79E+00,1.242239,3.29E-02
5.85E+00,1.234896,4.32E-02
5.90E+00,1.229289,6.22E-02
5.96E+00,1.231892,8.65E-02
6.00E+00,1.242862,1.07E-01
6.05E+00,1.268459,1.25E-01
6.10E+00,1.295314,1.31E-01
6.15E+00,1.330121,1.17E-01
6.19E+00,1.341605,8.79E-02
6.25E+00,1.339863,6.95E-02
6.30E+00,1.335754,5.70E-02
6.35E+00,1.329242,4.95E-02
6.40E+00,1.325038,4.49E-02
6.46E+00,1.320468,4.18E-02
6.50E+00,1.317726,3.92E-02
6.55E+00,1.314837,3.73E-02
6.61E+00,1.311404,3.56E-02
6.65E+00,1.309021,3.45E-02
6.70E+00,1.306716,3.37E-02
6.75E+00,1.304521,3.31E-02
6.81E+00,1.301901,3.28E-02
6.85E+00,1.300125,3.24E-02
6.90E+00,1.298382,3.22E-02
